Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;338905;;;Nödstopp EV Pilz;17,92;;;;
V;338907;;;Säkerhetsrelä FI Pilz;17,92;;;;
V;338908;;;Säkerhetsrelä FJ Pilz;17,92;;;;
V;338909;;;Expansionsrelä FK Pilz;17,92;;;;
V;338910;;;Säkerhetsrelä FL Pilz;17,92;;;;
V;338912;;;Säkerhetsrelä FO Pilz;17,92;;;;
V;338913;;;Säkerhetsrelä FP Pilz;17,92;;;;
V;338915;;;Expansionsmodul G6 Pilz;17,92;;;;
V;338916;;;RFID brytare GF Pilz;17,92;;;;
V;338917;;;Magnetbrytare GH Pilz;17,92;;;;
V;338918;;;Magnetbrytare GI Pilz;17,92;;;;
V;338920;;;Mek säkerhetsbrytare GK Pilz;22,64;;;;
V;338921;;;Mek säkerhetsbrytare GL Pilz;17,92;;;;
V;338922;;;Nyckel GM Pilz;17,92;;;;
V;338923;;;Säkerhetsrelä IC Pilz;17,92;;;;
V;338925;;;Tryckknapp IR Pilz;17,92;;;;
V;338929;;;Ljusbom enstrålig GN Pilz;24,53;;;;
V;338937;;;Säkerhetsrelä PNOZ G8 Pilz;29,25;;;;
V;338938;;;Säkerhetsrelä PNOZ G9 Pilz;29,25;;;;
V;338941;;;Säkerhetsrelä GC Pilz;29,25;;;;
V;338946;;;Huvudmodul IU;16,04;;;;
V;338950;;;Övervakningsrelä Phönix;20,41;;;;
V;338952;;;Kablage Phönix;20,41;;;;
V;338953;;;Kablage AG Phoenix;25,93;;;;
V;338954;;;Säkerhetsrelä Phönix;20,41;;;;
V;338959;;;Huvudmodul NB Pilz;31,63;;;;
V;338963;;;SICK Lista 38 27;23,47;;;;
V;338970;;;Gränslägen Eaton 2500;24,19;;;;
V;338986;;;IFM Lista 38_3;39,81;;;;
V;338989;;;IFM Lista 38_9,10,14,15,25,35,40;30,71;;;;
V;338990;;;IFM lista 38_5,12,21,26,41;24,07;;;;
V;338994;;;Solar Netto;50,00;;;;
V;338995;;;Solar Plus;50,00;;;;
V;340102;;;Tidrelä 700-FS/FE/FF II B5190 A-B;76,22;;;;
V;340104;;;Relä Slimline 700-HK B5204 A-B;62,24;;;;
V;340106;;;Sockel & clip 700-HN B5201 A-B;63,37;;;;
V;340108;;;Minirelä 700-HC B5193 A-B;72,86;;;;
V;340110;;;Minirelä 700-HP B5206 A-B;72,96;;;;
V;340112;;;Interfacerelä 700-HL B5205 A-B;62,86;;;;
V;340114;;;Nöd- & linnödstopp Tbh 440E E8637 A-B;59,18;;;;
V;340116;;;Tbh plugg-in 700-A B5200 A-B;73,27;;;;
V;340118;;;Grindbrytare Trojan 440K E8636 A-B;59,18;;;;
V;340120;;;Tidrelä 700-HR B5194 A-B;58,21;;;;
V;340122;;;Tidrelä digitalt  700-HX/HXM B5196 A-B;55,60;;;;
V;340124;;;Säkerhetsrelä 440R II E8644 A-B;55,92;;;;
V;340126;;;Ringledartrafo R9 SU  =S=;57,86;;;;
V;340128;;;Gränslägesbrytare Metall 440P E8642 A-B;41,12;;;;
V;340130;;;Industrirelä 700-HA B5191 A-B;63,88;;;;
V;340132;;;Insticksrelä 700-HB/HD B5192 A-B;70,61;;;;
V;340134;;;Relä statiskt 700-SH B5203 A-B;66,73;;;;
V;340137;;;Signalomvandlare 931 B5083 A-B;62,26;;;;
V;340200;;;Relä elektroniskt medTbh Eltako;63,06;;;;
V;340202;;;Tidrelä Eltako;63,06;;;;
V;340204;;;Relä mekaniska medTbh Eltako;67,04;;;;
V;340206;;;Kontrollrelä Eltako;63,06;;;;
V;340250;;;Plugg-in Relä RX/RU/AB.R/S FC =S=O;70,40;;;;
V;340251;;;Plugg-in relä RXG FB =S=O;47,49;;;;
V;340252;;;Relä RE/Zelio control FC =S=O;64,81;;;;
V;340253;;;Zelio Solid state relä FD =S=O;69,67;;;;
V;340254;;;Normrelä A9 SA =S=O;39,10;;;;
V;340255;;;Tidrelä RE + Zelio Time FC =S=O;69,67;;;;
V;340256;;;iC60 övriga produkter SA =S=O;39,65;;;;
V;340257;;;XA2/Style 5 IB =S=O;64,04;;;;
V;340258;;;Tidrelä A9 SA =S=O;38,68;;;;
V;340259;;;Plugg-in Relä RX/RU/AB.R/S FB =S=O;70,40;;;;
V;340260;;;Impulsrelä GF BJ =S=O;67,08;;;;
V;340262;;;Normrelä TL SN/SP QR =S=O;61,73;;;;
V;340300;;;N-komponenter Huvudbrytare 028 SIE;75,10;;;;
V;340302;;;Solidstaterelä 3RF20-24 3RF29 41C SIE;86,12;;;;
V;340304;;;Minikontaktor relä/tid/säk 41H SIE;75,19;;;;
V;340306;;;N-komp timers & kopplingsurSIE;71,98;;;;
V;340308;;;N-komp Mätapparater, elmätare 033 SIE;77,14;;;;
V;340310;;;N-komp Övervakningsapp storhet 027 SIE;79,29;;;;
V;340320;;;Signalomv I 3RS SIE;70,85;;;;
V;340400;;;Relä riderserien E533 Weidm;55,61;;;;
V;340402;;;Relä microserien E532 Weidm;55,61;;;;
V;340412;;;Signalomv Microserien E542 Weidm;56,27;;;;
V;340417;;;Signalomvandlare E543 Weidm;56,12;;;;
V;340500;;;Plugg-in relä ABB;55,00;;;;
V;340502;;;Tidrelä ABB;53,88;;;;
V;340504;;;Normrelä ABB;55,00;;;;
V;340508;;;Tidrelä II ABB;56,12;;;;
V;340509;;;Tidrelä III ABB;56,12;;;;
V;340650;;;Industrirelä 200 Carlo Gavazzi;35,86;;;;
V;340652;;;Reläsockel 190 Carlo Gavazzi;35,86;;;;
V;340656;;;Tidrelä 080 Carlo Gavazzi;35,86;;;;
V;340850;;;Normrelä Eldon;51,94;;;;
V;340860;;;Normrelä Hager;60,00;;;;
V;340880;;;Interfacerelä 3 Murr;49,47;;;;
V;340960;;;Relä Phönix;20,41;;;;
V;340970;;;Relä Eaton 2500;27,27;;;;
V;340990;;;Solar Plus;50,00;;;;
V;340994;;;Solar Netto;50,00;;;;
V;340995;;;Solar Plus;50,00;;;;
V;342100;;;Mätinstrument Fluke II;21,11;;;;
V;342101;;;Mätinstrument Fluke I;16,67;;;;
V;342102;;;Instrument Pre-Reg Dr-X00 Fluke;21,11;;;;
V;342108;;;Instrument Networks 25 Fluke;21,11;;;;
V;342110;;;Instrument Networks 23 Fluke;21,11;;;;
V;342112;;;Instrument SM Moduler Fluke;20,00;;;;
V;342114;;;Rengörning A Fluke;22,22;;;;
V;342116;;;Rengörning B Fluke;22,22;;;;
V;342118;;;Instrument AJ Fluke;22,78;;;;
V;342120;;;Instrument AM Fluke;18,89;;;;
V;342202;;;Mätinstrument Testboy I;33,07;;;;
V;342206;;;Mätinstrument Yokogawa;31,32;;;;
V;342212;;;Mätinstrument Amprobe III;30,42;;;;
V;342220;;;Mätinstrument I Elit;36,17;;;;
V;342222;;;Mätinstrument II Elit;36,17;;;;
V;342230;;;Mätinstrument I Elma;25,53;;;;
V;342232;;;Mätinstrument II Elma;24,47;;;;
V;342234;;;Mätinstrument III Elma;24,47;;;;
V;342236;;;Mätinstrument IV Elma;24,47;;;;
V;342238;;;Mätinstrument V Elma;24,47;;;;
V;342240;;;Mätinstrument VI Värmekameror Elma;46,81;;;;
V;342303;;;Thermo Lapp;50,51;;;;
V;342304;;;Summa- & timräknare FE =S=;55,04;;;;
V;342306;;;Drifttidsmätare Style 5 IB =S=O;53,78;;;;
V;342310;;;Wiser Energy H7 =S=O;57,45;;;;
V;342312;;;Wiser Energy RA =S=O;73,40;;;;
V;342314;;;Strömtrafo, kombi instrument (UF) =S=O;73,40;;;;
V;342318;;;Strömtrafo, powertag UF =S=O;72,34;;;;
V;342320;;;Elnätsmodem, Energisensor UF =S=O;42,06;;;;
V;342402;;;Drifttidsmätare MULLER;60,38;;;;
V;342406;;;Instrument Weidmuller;44,80;;;;
V;342454;;;Strömtrafo 110 Carlo Gavazzi;65,31;;;;
V;342456;;;Instrument 100 Garlo Cavazzi;35,86;;;;
V;342500;;;Strömtrafo TÄLJE;37,65;;;;
V;342514;;;Tbh TÄLJE;37,40;;;;
V;342520;;;Fasföljdsindikering TÄLJE;37,89;;;;
V;342522;;;Jordfelsrelä norm TÄLJE;37,45;;;;
V;342524;;;Jordfelsrelä TÄLJE;37,42;;;;
V;342528;;;Omkopplare TÄLJE;37,96;;;;
V;342600;;;Tbh plint övriga II P179 Weidm;49,51;;;;
V;342680;;;Strömtrafo Garo;55,32;;;;
V;342681;;;STRÖMTRAFO GARO E-mobility;34,57;;;;
V;342820;;;Mätnig/omvandling I Phönix;20,41;;;;
V;342822;;;Mätnig/omvandling II Phönix;4,08;;;;
V;342823;;;Mätning/Omvandling II AE Phoenix;19,44;;;;
V;342830;;;Testinstrument Kamic;52,57;;;;
V;342850;;;Mätverktyg Benning;42,68;;;;
V;342864;;;Mätinstrument  ICT;28,72;;;;
V;342870;;;Elmätare PAC 3200+4200Tbh 133 Sie;35,72;;;;
V;342970;;;EATON LISTA 42 2500;24,19;;;;
V;342994;;;Solar Netto;50,00;;;;
V;342995;;;Solar Plus;50,00;;;;
V;345108;;;SIMATIC S7-1200 212 SIE;30,71;;;;
V;345110;;;SIMATIC S7-1500 Tbh 215 SIE;17,35;;;;
V;345115;;;Industridatorer 202 SIE;26,53;;;;
V;345116;;;Industridatorer 203 SIE;26,53;;;;
V;345117;;;Industridatorer 205 SIE;26,53;;;;
V;345122;;;SIMATIC NET PB OLM 5O1 SIE;15,92;;;;
V;345124;;;SIMATIC NET PC CP 5P5 SIE;16,02;;;;
V;345126;;;SIMATIC NET PLC CP 5P2 SIE;15,92;;;;
V;345130;;;SIMATIC NET Speckabel kontakt 5K2 SIE;16,02;;;;
V;345132;;;SIMATIC NET Stdkabel kontakter 5K1 SIE;16,02;;;;
V;345134;;;SIMATIC NET Telecontrol 5T1 SIE;15,92;;;;
V;345156;;;SIMATIC HMI Sentron mjukvaror 277 SIE;17,65;;;;
V;345160;;;SIMATIC Engineeringverktyg 266 SIE;17,24;;;;
V;345161;;;SIMATIC ET 200iSP 4C7 SIE;19,31;;;;
V;345162;;;SIMATIC ET200SP Siwarex 255 SIE;17,35;;;;
V;345167;;;SIMATIC PGTbh 261 Sie;13,37;;;;
V;345168;;;SIMATIC ProfibusDP 250 SIE;11,22;;;;
V;345170;;;SIMATIC Sensors - RFID 572 SIE;15,20;;;;
V;345172;;;SIMATIC PCI Exp 265 SIE;18,37;;;;
V;345173;;;SIMATIC TOP Connect 592 SIE;19,59;;;;
V;345176;;;SIPLUS LOGO! 470 SIE;30,20;;;;
V;345177;;;SIPLUS S7-300 473 SIE;17,24;;;;
V;345178;;;SIWAREX CS/CM 816 SIE;5,92;;;;
V;345179;;;SIWAREX vägningssystem 815 SIE;5,92;;;;
V;345190;;;AS-i ASisafe, ASi Link, IO-Link 42C SIE;40,10;;;;
V;345193;;;LOGO! 200 II SIE;30,31;;;;
V;345194;;;Motorstartare M200D AS-i DP 42D SIE;31,53;;;;
V;345200;;;1732 ArmorBlock I/O D6541 A-B;21,29;;;;
V;345201;;;1734 Point I/O D6542 A-B;25,90;;;;
V;345203;;;1746 SLC I/O D6537 A-B;22,45;;;;
V;345206;;;1756 CLX CPU & servomodul D5530 A-B;14,39;;;;
V;345208;;;1756 CLX I/0 &Tbh D6539 A-B;14,29;;;;
V;345211;;;1761 MicroLogix 1000 J5524 A-B;21,01;;;;
V;345214;;;1762 MicroLogix Exp Mod 1200 J5526 A-B;22,45;;;;
V;345215;;;1763 MicroLogix 1100 J5525 A-B;20,56;;;;
V;345217;;;1766 MicroLogix 1400 J5792 A-B;24,54;;;;
V;345218;;;1769- 5370 L1/L2 CompactLogix K140B A-B;19,14;;;;
V;345219;;;5069 CompactLogix N253F A-B;8,16;;;;
V;345220;;;1769- 5370 L3 CompactLogix K131A A-B;18,92;;;;
V;345222;;;1769 CompactLogix I/O &Tbh K8540 A-B;19,77;;;;
V;345225;;;1791 DS/ES Cpt Block Guard I/O D6698 A-B;19,34;;;;
V;345226;;;1794 Flex I/O D6545 A-B;25,80;;;;
V;345233;;;Filter 2090 H1817 A-B;17,40;;;;
V;345240;;;Micro800Tbh K917A A-B;22,04;;;;
V;345241;;;Micro810 K913A A-B;20,71;;;;
V;345242;;;Micro820 K962E A-B;25,77;;;;
V;345244;;;Micro850 Exp K979D A-B;25,93;;;;
V;345245;;;Micro850 K915A A-B;28,50;;;;
V;345248;;;PanelView CTbh D8567 A-B;16,79;;;;
V;345251;;;PanelView Plus 7 5.7" D883E A-B;10,59;;;;
V;345255;;;'PanelView 800 10" D8566 A-B;10,59;;;;
V;345256;;;PanelView Plus 7 12" D888E A-B;26,00;;;;
V;345258;;;PanelView Plus 7Adv 7-12" D876E A-B;17,50;;;;
V;345274;;;PanelView Plus 6Tbh D8563 A-B;15,45;;;;
V;345285;;;RSLinx Classic / RSNetworx E3587 A-B;20,40;;;;
V;345286;;;RSLogix 5000 E3590 A-B;19,73;;;;
V;345287;;;Tbh ControlNet D6538 A-B;21,53;;;;
V;345300;;;Distr I/O Advantys QR =S=O;47,14;;;;
V;345301;;;PLC M221 Q1 =S=O;28,44;;;;
V;345302;;;Zelio Logic Q1 =S=O;43,41;;;;
V;345303;;;PLC M241 Q1 =S=O;28,44;;;;
V;345304;;;PLC M340 Q0 =S=O;47,22;;;;
V;345305;;;PLC M251 Q1 =S=O;29,70;;;;
V;345306;;;Operatörsterminal XBTG IZ =S=O;39,01;;;;
V;345307;;;TM3 IO-moduler FY =S=O;28,44;;;;
V;345310;;;PLC TSX Micro KK =S=O;47,14;;;;
V;345311;;;LMC058 Motion Control QX =S=O;23,47;;;;
V;345312;;;AS-i MAC IC =S=O;64,44;;;;
V;345313;;;TM3 IO-moduler Q1 =S=O;28,44;;;;
V;345315;;;TM3 IO-moduler Q1 =S=O;28,44;;;;
V;345328;;;HMI Operatörsterminal QA =S=O;47,14;;;;
V;345330;;;Kablage XZCC II KN TESE;59,76;;;;
V;345334;;;Operatörsterminal XBTN/R/F/HM/PM QG =S=O;47,14;;;;
V;345337;;;PLC M171 HVAc Controller QV =S=O;22,45;;;;
V;345338;;;Lexium drivers QW =S=O;21,10;;;;
V;345400;;;Distribuerad I/O Wago;32,65;;;;
V;345500;;;Anybus X-Gateway Communicator HMS;12,61;;;;
V;345502;;;Fältbusskomponent 5 Murr;49,47;;;;
V;345503;;;Fältbusskomponenter 7 MURR;49,47;;;;
V;345504;;;Tbh Fältbusskomponenter 7 MURR;49,47;;;;
V;345600;;;Distr I/O U-Remote Weidm I;15,82;;;;
V;345800;;;LOGO! 200 I SIE;24,49;;;;
V;345804;;;SIMATIC IOT 204 SIE;13,27;;;;
V;345812;;;SIMATIC S7-1200 Tbh 212 SIE;29,08;;;;
V;345813;;;SIMATIC S7-1200 SF 213 SIE;19,39;;;;
V;345814;;;SIMATIC S7-1500T 214 SIE;15,31;;;;
V;345815;;;SIMATIC S7-1500 215 SIE;17,86;;;;
V;345816;;;SIMATIC S7-1500F Failsafe Adv216 SIE;17,86;;;;
V;345818;;;SIMATIC Failsafe Tools 218 SIE;12,24;;;;
V;345819;;;SIMATIC S7-1500 I/O, ET200MP IM 219 SIE;17,55;;;;
V;345830;;;SIMATIC S7-300 CPU med tbh 230  SIE;15,31;;;;
V;345831;;;SIMATIC S7-300 I/O med tbh 231 SIE;15,31;;;;
V;345837;;;SIMATIC HMI Basic panel 237 SIE;23,98;;;;
V;345839;;;SIMATIC HMI Comfort panel 239 SIE;18,37;;;;
V;345840;;;SIMATIC S7-400 240 SIE;12,24;;;;
V;345841;;;SIMATIC Failsafe S7 ProfibusDP 241 SIE;15,31;;;;
V;345842;;;FAILSAFE S7-CPU 242 SIE;13,27;;;;
V;345850;;;SIMATIC ProfibusDP ET200 250 SIE;20,41;;;;
V;345854;;;SIMATIC ET200AL 254 SIE;19,39;;;;
V;345855;;;SIMATIC ET200SP 255 SIE;24,49;;;;
V;345856;;;SIMATIC ET200SP F 256 SIE;18,37;;;;
V;345857;;;SIMATIC ET200eco PN 257 SIE;19,39;;;;
V;345860;;;SIMATIC PG 260 SIE;11,22;;;;
V;345865;;;SIMATIC Standardverktyg 265 SIE;15,31;;;;
V;345866;;;SIMATIC Engineeringv 266 SIE;12,24;;;;
V;345870;;;SIMATIC HMI Paneler 07x / 17x 270 SIE;15,31;;;;
V;345875;;;SIMATIC HMI Flatpanel-PC67x/87x 275 SIE;12,24;;;;
V;345876;;;SIMATIC HMI mjukvara WinCC 276 SIE;13,27;;;;
V;345877;;;SIMATIC HMI Runtime-mjukvaror 277 SIE;19,39;;;;
V;345880;;;SIMATIC PCS 7 280 SIE;15,82;;;;
V;345887;;;TELEPERM 287 SIE;15,31;;;;
V;345960;;;Moduler/Kablage Phönix;38,78;;;;
V;345961;;;Moduler/Kablage II AE Phoenix;14,81;;;;
V;345962;;;Moduler/Kablage AG Phoenix;25,93;;;;
V;345994;;;Solar Netto;50,00;;;;
V;345995;;;Solar Plus;50,00;;;;
V;348102;;;Signalkabel Hf Nexans;67,95;;;;
V;348108;;;Signalkablar brandsäkra Alesure Nexans;68,91;;;;
V;348112;;;Apparatkabel Nexans;69,81;;;;
V;348114;;;Koaxialkabel Typ Ktv Nexans;66,05;;;;
V;348116;;;Telekabel Utomhus Nexans;79,21;;;;
V;348118;;;Koaxialkabel Typ Rg Nexans;63,51;;;;
V;348120;;;Kopplingskabel ENUBB Nexans;64,94;;;;
V;348134;;;Telekabel ELAQBY Nexans;59,98;;;;
V;348136;;;Telekabel ELAQPQB Nexans;59,98;;;;
V;348138;;;Telekabel EQQXB Nexans;59,98;;;;
V;348140;;;Telekabel ELEQB Nexans;59,98;;;;
V;348142;;;Telekabel J-H(ST)H Nexans;59,48;;;;
V;348144;;;Telekabel PTS-HF Nexans;59,48;;;;
V;348146;;;Telekabel EQQRB Nexans;59,48;;;;
V;348148;;;Telekabel FQQXB Nexans;59,48;;;;
V;348150;;;Telekabel FLQQBR Nexans;59,48;;;;
V;348152;;;Telekabel FLAQQBR Nexans;59,48;;;;
V;348154;;;Telekabel EQQYB Nexans;58,48;;;;
V;348202;;;Telekabel ELQYB NKT;49,47;;;;
V;348204;;;EQQXB Noburn  NKT;49,47;;;;
V;348268;;;Detektorkabel Ateco;21,91;;;;
V;348302;;;Telekabel inhus övriga;66,78;;;;
V;348400;;;LIYY / LIYCY;75,07;;;;
V;348404;;;LIYY LAPP;70,92;;;;
V;348406;;;LIYCY LAPP;75,93;;;;
V;348410;;;Signalkabel LAPP;72,45;;;;
V;348412;;;Signalkabel LIYCY;54,84;;;;
V;348500;;;Audiokablar Jenving;72,68;;;;
V;348520;;;LIHH / LIHCH Solar Cable;44,09;;;;
V;348550;;;Koaxialkabel Macab;20,90;;;;
V;348600;;;Detektorkabel Malux;62,77;;;;
V;348650;;;QnE Diverse QnE RQUB PM Flex PM6C2;69,02;;;;
V;348654;;;QnE FQ/RQ QnE PM Flex PM6B2;68,39;;;;
V;348700;;;LIHH / LIHCH;79,15;;;;
V;348702;;;Datakabel LIHCH LAPP;64,29;;;;
V;348710;;;Funktionssäker larmakabel Rutab;69,00;;;;
V;348750;;;Koaxialkabel;67,84;;;;
V;348994;;;Solar Netto;50,00;;;;
V;348995;;;Solar Plus;75,00;;;;
V;349100;;;Oskärmad kabel Commscope;65,14;;;;
V;349104;;;Skärmad Kabel Commscope;65,65;;;;
V;349108;;;Fiberkabel MM Commscope;69,39;;;;
V;349112;;;Fiberkabel SM Commscope;72,65;;;;
V;349200;;;Optokabel Melbye;66,12;;;;
V;349204;;;Blåsfiberkabel mini Melbye;65,31;;;;
V;349300;;;Datakabel Cu Nexans;66,84;;;;
V;349304;;;Optokabel Nexans;64,81;;;;
V;349350;;;Optokabel Hexatronic;68,37;;;;
V;349352;;;Blåsfiberkabel Hexatronic;66,35;;;;
V;349400;;;Cu Standard 3A =S=O;73,88;;;;
V;349412;;;Busskablar 5C =S=O;66,18;;;;
V;349500;;;Kopparkabel Excel I;45,67;;;;
V;349510;;;Cat kabel Leviton;37,76;;;;
V;349550;;;SIMATIC NET Stdkabel 5K1 SIE;18,98;;;;
V;349552;;;SIMATIC NET Speckabel Bus/Kom 5K2 SIE;4,14;;;;
V;349600;;;Busskablar Solar;72,57;;;;
V;349604;;;Datakablar Belden;72,86;;;;
V;349650;;;Fiberkabel VMC;28,57;;;;
V;349702;;;Fiberkablar TKF III;21,97;;;;
V;349800;;;Datakabel Cu 34 Elko;69,10;;;;
V;349900;;;Busskablar Rutab;72,45;;;;
V;349904;;;Actassi Fo Lan Kabel 3G =S=;7,07;;;;
V;349994;;;Solar Netto;50,00;;;;
V;349995;;;Solar Plus;75,00;;;;
V;350100;;;Blåsfiberkabel Melbye;65,85;;;;
V;350102;;;Blåsfiberkanalisation Melbye;65,45;;;;
V;350104;;;Blåsfiberkopplingar Melbye;66,02;;;;
V;350114;;;Fiberuttag och Väggboxar Melbye;63,54;;;;
V;350120;;;Dämpare Melbye;33,19;;;;
V;350122;;;Sökutrustning Melbye;34,39;;;;
V;350130;;;ODF ochTbh Till ODF Melbye;64,42;;;;
V;350140;;;Patchkablage FTTX Melbye;62,37;;;;
V;350146;;;Pigtail Fanout Och Adaptrar Melbye;63,14;;;;
V;350160;;;Skarvboxar och Markskåp Melbye;38,98;;;;
V;350170;;;Tillbehör Leviton;36,73;;;;
V;350200;;;Cyb 7E =S=;71,35;;;;
V;350204;;;Montageram fiber Actassi 3H =S=O;11,21;;;;
V;350207;;;Blåsfiber Hexatronic;0,00;;;;
V;350212;;;Actassi Panel & Patch 3G =S=O;10,21;;;;
V;350214;;;Actassi Pigtail & Don 3G =S=O;10,21;;;;
V;350252;;;Nätmaterial 33 Elko;66,98;;;;
V;350254;;;Övrig Fiberoptik 33 Elko;68,53;;;;
V;350272;;;Kopplingsbox Ateco;24,97;;;;
V;350300;;;Plintar Fatum;61,57;;;;
V;350320;;;Fiber Patch Optifab;50,00;;;;
V;350352;;;Verktyg 3M;30,20;;;;
V;350400;;;Nätmaterial C3 Connect;29,12;;;;
V;350402;;;Nätmaterial C3 Connect Telia;26,36;;;;
V;350404;;;Verktyg C3 Connect;25,76;;;;
V;350406;;;TOSP C3 Connect;28,96;;;;
V;350408;;;TOSP C3 Connect Skannova;28,73;;;;
V;350450;;;kopplingsmaterial Connexio Ensto;37,98;;;;
V;350500;;;Patchkablage Commscope;68,22;;;;
V;350502;;;Väggboxar Commscope;59,82;;;;
V;350504;;;Fiberadaptrar Commscope;59,18;;;;
V;350550;;;Opto Emtelle;67,66;;;;
V;350551;;;Mikrokanalisation Emtelle;68,56;;;;
V;350552;;;Tillbehör Emtelle;37,02;;;;
V;350554;;;Tillbehör rör komm Terana;67,71;;;;
V;350600;;;Fiberboxar Enoc;59,37;;;;
V;350602;;;Tele/Datastativ Enoc;64,72;;;;
V;350604;;;Marksskåp Enoc;63,56;;;;
V;350700;;;Optomaterial Tykoflex 35;29,19;;;;
V;350702;;;Optomaterial Tykoflex 30;18,65;;;;
V;350800;;;FIBERBOXAR NEXANS;60,58;;;;
V;350802;;;Fiberboxar ODF Nexans;60,48;;;;
V;350808;;;Förterminerad ODF M Stubbkabel Nexans;59,85;;;;
V;350810;;;Förterminerad ODF Nexans;60,32;;;;
V;350818;;;Dämpare Nexans;31,77;;;;
V;350820;;;Patchkablage Fiber Nexans;59,51;;;;
V;350822;;;Pigtail Fanout adaptrer Nexans;60,36;;;;
V;350824;;;Pigtail Fanout och Adaptrar Nexans;59,61;;;;
V;350826;;;Skarvskåp Nexans;60,58;;;;
V;350854;;;Mikrokanalisation Wavin 26;40,80;;;;
V;350900;;;Nätmaterial ABB;66,61;;;;
V;350901;;;Markskåp telekom ABB Kabeldon;52,22;;;;
V;350902;;;Tele/Datastativ Ericsson;58,84;;;;
V;350908;;;Opto Hellermanntyton;59,47;;;;
V;350910;;;Opto Macab;10,02;;;;
V;350912;;;Optomaterial Memoteknik;35,53;;;;
V;350914;;;Tele/Datastativ MP 005;67,46;;;;
V;350916;;;Optomaterial Optomize;33,28;;;;
V;350922;;;Nätmaterial TJEDER;59,62;;;;
V;350926;;;Nätmateriel VMC;52,96;;;;
V;350928;;;Plintar och Kopplingsboxar Linjator;22,53;;;;
V;350930;;;Stitec Markskåp 50;41,98;;;;
V;350932;;;ODF m. TBH TD Fiberoptik;40,82;;;;
V;350934;;;Patchkablage TD Fiberoptik;40,82;;;;
V;350938;;;Skanova TD Fiberoptik;14,37;;;;
V;350990;;;Solar Plus Patchkablar fiber;50,00;;;;
V;350994;;;Solar Netto;50,00;;;;
V;350995;;;Solar Plus;50,00;;;;
V;351100;;;Uttag/Brickor Commscope I;64,90;;;;
V;351104;;;Modularkontakter Commscope I;60,00;;;;
V;351106;;;Modularkontakter Commscope II;66,33;;;;
V;351108;;;Paneler Commscope I;60,61;;;;
V;351112;;;Patchkablage Commscope I;59,90;;;;
V;351200;;;Actassi Patch & Färgkodning 3B =S=O;11,33;;;;
V;351204;;;Actassi Rj45 Jack 3B =S=O;12,14;;;;
V;351206;;;Home 3H =S=O;32,14;;;;
V;351210;;;Actassi DataskåpTbh 3B =S=O;11,33;;;;
V;351214;;;Thorsman CYB 7E =S=O;64,55;;;;
V;351216;;;Nätverksanslutning trådat 3H =S=O;57,43;;;;
V;351220;;;Data Centrumplattor 3H =S=O;11,63;;;;
V;351235;;;Datauttag RG36 ELKO;50,22;;;;
V;351240;;;Patch kabel Leviton;36,73;;;;
V;351300;;;Uttag/Brickor Fästmateriel 33 Elko;68,72;;;;
V;351308;;;Tcs Data 37 Elko;9,43;;;;
V;351312;;;Uttag, C-platta RS Renvit inf I 58 Elko;57,12;;;;
V;351314;;;Uttag, C-platta RS Renvit inf II 58 Elko;56,04;;;;
V;351316;;;Uttag, C-platta RS Renvit utv 58 Elko;56,58;;;;
V;351350;;;USB adapt Hager;50,61;;;;
V;351352;;;Centrumplattor Data Hager;56,94;;;;
V;351355;;;Nätverksprodukter Teltonika;25,54;;;;
V;351500;;;SIMATIC NET IE Switch fältnivå 5N2 SIE;20,82;;;;
V;351502;;;SIMATIC NET IE Switch enkla 5N1 SIE;24,59;;;;
V;351504;;;SIMATIC NET IWLAN 5W3 SIE;19,39;;;;
V;351506;;;SIMATIC NET CP-kort Micro PLC 5P1 SIE;23,78;;;;
V;351510;;;SIMATIC NET IE Switch styr/anl 5N3 SIE;21,63;;;;
V;351514;;;SIMATIC NET SCALANCE M fältnivå 5M2 SIE;21,63;;;;
V;351600;;;Aktiv Nätverksutrustning Melbye;14,95;;;;
V;351602;;;Mediakonverter Melbye;14,88;;;;
V;351640;;;Modularkontakter NEXANS;60,01;;;;
V;351642;;;Kabelsystem Nexans;59,80;;;;
V;351682;;;Switch unman Stratix 2000 K651E A-B;19,08;;;;
V;351684;;;Switch managed Stratix 5700 K671A A-B;24,19;;;;
V;351690;;;Tbh Switch Stratix 4000 K6974 A-B;16,63;;;;
V;351700;;;Switch Industrial Ethernet I651 Weidm;27,11;;;;
V;351702;;;Industrial Ethernet kablar I655 Weidm;26,73;;;;
V;351704;;;Industrial Ethernet kontakter I652 Weidm;26,63;;;;
V;351800;;;Uttag/brickor Jussi ABB;69,18;;;;
V;351802;;;Uttag/brickor Impressivo ABB;69,18;;;;
V;351804;;;Datauttag Saga  ABB;51,67;;;;
V;351842;;;D-Link Aktiva Produkter;16,85;;;;
V;351900;;;CTS System;31,61;;;;
V;351904;;;Avantis Aktiva Produkter;10,94;;;;
V;351908;;;Aktiv Nätverksutrustning Zyxel;23,78;;;;
V;351912;;;Koaxialkontakter;61,33;;;;
V;351920;;;Data/Tele Berker S1 Hager;61,63;;;;
V;351928;;;Nätverksutrustning Televes;15,81;;;;
V;351932;;;Uttag 4 Murr;49,47;;;;
