Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;306252;;;SRS Evopipe Evopipes;53,19;;;;
V;306253;;;Tillbehör Evopipe Evopipes;53,19;;;;
V;306254;;;SRE TÄTA Evopipes;52,13;;;;
V;306300;;;Optokanalisation Melbye;60,20;;;;
V;306304;;;Varningsnät Melbye;62,24;;;;
V;306400;;;Kabelskydd tillbehör PM9F1;61,84;;;;
V;306401;;;Kabelskydd tillbehör PM9F2;61,06;;;;
V;306402;;; AKK/AKS/AKÖ PM9P2;61,06;;;;
V;306403;;;Grenklämma PM9P2;61,06;;;;
V;306404;;;Flexibelt kabelskydd PM9P2;61,06;;;;
V;306410;;;Kabelskydd Rak  PM Flex PM9A1;60,54;;;;
V;306411;;;Kabelskydd Rak  PM Flex PM9A2;59,73;;;;
V;306413;;;Kabelskydd böj PM9B2;59,73;;;;
V;306415;;;Kabelskydd avslut PM9C2;59,73;;;;
V;306417;;;Kabelskydd T-Kors PM9D2;59,73;;;;
V;306419;;;Kabelskydd rak PM9L2;59,73;;;;
V;306450;;;HEXATRONIC VARNINGSNÄT;0,00;;;;
V;306600;;;Stag & Najningsmateriel Lela;63,55;;;;
V;306700;;;Optokanlisation Wavin N;46,92;;;;
V;306706;;;Optokanlisation Wavin 42;41,63;;;;
V;306710;;;Optokanalisation ochTbh Wavin 47;62,24;;;;
V;306714;;;OptokanalisationTbh Wavin 42;31,97;;;;
V;306800;;;Häng- och spänndon Scandicwire;64,80;;;;
V;306806;;;Najtråd Scandicwire;61,02;;;;
V;306850;;;Varningsskyltar;56,33;;;;
V;306855;;;Informations och varningsskyltar Rutab;54,26;;;;
V;306902;;;Stag & Najningsmateriel Ensto;64,69;;;;
V;306904;;;Stag & Najningsmtrl Scandicwire;76,63;;;;
V;306910;;;Skyltar II Hammarprodukter;57,04;;;;
V;306914;;;Skyltar I Hammarprodukter;62,24;;;;
V;306916;;;Potentialutjämningsmtr Elrond;58,76;;;;
V;306920;;;Potentialutjämningsmtr MP;59,29;;;;
V;306922;;;Potentialutjämningsmtr ABB;61,84;;;;
V;306926;;;Skyltar III Hammarprodukter;56,84;;;;
V;306928;;;Stag & najningsmateriel Wibe SO;76,53;;;;
V;306930;;;Pot.utj Eldon;81,20;;;;
V;306932;;;Potentialutjämningsmtr Ensto;56,73;;;;
V;306936;;;Skyltar Hammarprodukter;56,73;;;;
V;306990;;;Solar Plus Potentialutj.;50,00;;;;
V;306991;;;Solar Plus Najtråd och Rör;50,00;;;;
V;306994;;;Solar Netto;50,00;;;;
V;306995;;;Solar Plus Kabelskydd;50,00;;;;
V;307100;;;Anslutningsdon ABB;42,36;;;;
V;307102;;;Brytare Elkopplare ABB;37,89;;;;
V;307104;;;Fördelningscentraler ABB;39,89;;;;
V;307106;;;Tbh Kabelskåp ABB;37,76;;;;
V;307108;;;Säkringslastbrytare ABB;31,84;;;;
V;307120;;;Tejp Aerosoler Kabeldon;66,63;;;;
V;307122;;;Kabelskåp - Fundament Kabeldon;43,99;;;;
V;307140;;;Säkringslastbrytarre ABB;48,40;;;;
V;307200;;;Kabelskarvar Melbye;48,23;;;;
V;307202;;;Krympslang Melbye;63,16;;;;
V;307203;;;Övergång Melbye;40,00;;;;
V;307300;;;Tejp Nitto;58,67;;;;
V;307302;;;Skarvar Nitto;49,69;;;;
V;307303;;;Tesa I;58,00;;;;
V;307305;;;Tesa II;56,00;;;;
V;307350;;;Kabelskåp Garo;62,77;;;;
V;307352;;;Kabelskåp tillbehör Garo;62,77;;;;
V;307400;;;Tejp/Aerosoler 3M;56,33;;;;
V;307402;;;Kabelskarvar 3M;46,66;;;;
V;307500;;;Markskåp C3 Connect;36,43;;;;
V;307502;;;Markskåp C3 Connect Telia;32,86;;;;
V;307600;;;PV-Slang;74,39;;;;
V;307601;;;HF-Slang Hellermann Tyton;73,40;;;;
V;307602;;;Krympslang Hellermann;64,69;;;;
V;307604;;;Kabelskarvar Hellermann;53,98;;;;
V;307650;;;Kabelskarvar Elpress;50,20;;;;
V;307750;;;E-Mobility skåp Garo;48,98;;;;
V;307904;;;Krympslang Tykoflex;34,87;;;;
V;307908;;;Krympslang Nelco;63,57;;;;
V;307910;;;Tejp Eurocol;58,16;;;;
V;307920;;;Kabelskåp Ensto;44,49;;;;
V;307930;;;Kabelskåpsstolpar;25,98;;;;
V;307950;;;Anslutningsdon  NKT Cables HV;46,81;;;;
V;307951;;;Tillbehör Kabelskåp NKT Cables HV;41,49;;;;
V;307952;;;Skarvsatser NKT Cables HV;47,34;;;;
V;307994;;;Solar Netto;50,00;;;;
V;307995;;;Solar Plus;50,00;;;;
V;308100;;;Kabelskor Oisolerade Elpress;67,32;;;;
V;308102;;;Kabelskor Al/Cu Elpress;65,77;;;;
V;308104;;;Kabelskor Isolerade Elpress;75,06;;;;
V;308106;;;Kontaktpressning Elpress;65,06;;;;
V;308108;;;Verktyg Elpress;63,50;;;;
V;308200;;;Ändhylsor/Scotchlok;55,92;;;;
V;308300;;;Ändhylsa P150 Weidm;61,23;;;;
V;308302;;;Handverktyg W800 Weidm;33,67;;;;
V;308400;;;Kabelskor Isolerade Nelco;63,80;;;;
V;308402;;;Kabelskor Oisolerade Nelco;63,09;;;;
V;308404;;;Kabelskor Al/Cu Nelco;64,04;;;;
V;308406;;;Kontaktpressning Nelco;63,59;;;;
V;308408;;;Pressverktyg Nelco;65,08;;;;
V;308500;;;Kabelskor medTbh Melbye;59,70;;;;
V;308550;;;Kabelskor Phönix;39,38;;;;
V;308551;;;Kabelskor AE Phoenix;14,81;;;;
V;308552;;;Kabelskor AG Phoenix;25,93;;;;
V;308600;;;Ändhylsa/Märkning DZ5/AK2 VA =S=O;71,11;;;;
